n1_interesting,n1_surprise,n1_sadness,n1_anger,n2_interesting,n2_surprise,n2_sadness,n2_anger,n3_interesting,n3_surprise,n3_sadness,n3_anger
59,53,1,0,45,31,56,46,75,69,1,1
69,72,73,73,41,56,60,61,86,70,76,47
61,26,0,0,64,0,87,88,95,74,0,57
80,45,13,13,71,31,74,28,99,30,27,27
50,51,50,50,50,50,50,50,59,74,4,3
56,29,0,0,69,35,63,34,100,80,0,0
23,36,31,24,56,27,2,10,16,18,12,14
41,39,66,28,36,34,60,70,64,74,0,0
56,44,65,40,60,64,69,77,62,70,20,28
79,62,6,5,95,71,92,5,95,88,4,3
78,0,0,0,0,60,0,0,100,67,0,0
64,83,17,0,0,100,0,65,92,14,0,0
61,65,59,65,60,70,65,63,61,66,38,68
34,36,38,32,32,28,60,11,64,20,23,21
73,0,0,0,81,5,0,0,100,0,0,5
73,73,34,73,39,39,75,46,69,98,55,56
65,65,66,19,57,76,26,39,88,75,19,0
87,34,59,10,80,64,91,74,73,64,10,15
86,65,21,0,62,86,65,13,91,86,60,5
70,69,0,2,39,65,72,19,70,71,26,1
64,84,67,3,71,67,61,9,73,72,25,8
70,75,38,70,25,29,31,31,71,73,28,31
75,37,3,2,55,65,63,41,81,54,14,11
62,63,21,29,52,52,67,48,69,33,41,39
78,30,14,10,65,37,60,66,71,71,13,14
50,50,50,50,50,50,50,50,63,61,50,56
58,60,31,39,69,66,50,37,83,60,21,28
32,27,0,0,100,100,63,22,55,56,27,10
72,49,44,55,58,61,41,35,77,58,0,24
74,66,24,25,68,63,65,68,75,45,0,0
77,57,22,22,57,30,53,28,66,58,29,28
58,27,33,63,68,27,62,26,100,70,21,36
73,24,66,0,17,21,79,7,100,89,0,0
69,61,37,37,32,26,33,28,85,88,20,19
73,40,10,2,17,10,0,5,24,12,0,0
54,45,45,38,46,43,41,38,55,55,29,30
64,57,31,40,60,50,43,23,64,69,28,30
61,69,59,36,69,65,55,53,67,58,44,37
59,55,55,56,58,50,70,74,93,58,33,58
55,39,0,0,36,46,52,54,89,72,0,0
81,85,37,67,65,70,72,47,64,77,64,63
55,66,63,71,39,60,61,60,63,61,61,62
77,62,37,61,67,63,35,64,62,60,31,70
55,46,47,43,44,59,38,27,33,36,38,39
34,34,33,57,31,26,28,31,61,65,37,61
81,83,81,59,76,29,73,28,31,69,100,14
77,76,48,58,65,63,42,66,67,39,64,70
63,67,52,42,61,60,62,38,60,63,59,66
46,5,24,25,28,21,56,23,65,61,4,43
77,34,19,11,69,65,59,75,98,68,71,68
80,47,56,43,27,38,66,25,78,70,66,57
76,84,45,2,94,97,74,42,53,53,64,13
55,53,0,0,65,74,55,0,100,53,0,0
67,77,29,0,59,28,65,30,72,100,14,15
75,62,0,0,68,0,92,74,100,100,0,66
61,60,63,21,87,67,85,67,92,75,28,33
60,38,17,0,56,17,72,0,100,58,0,0
21,35,0,0,17,15,35,34,68,53,0,3
100,70,0,0,100,100,30,0,100,100,0,0
61,45,44,49,57,50,56,55,64,60,41,38
89,70,3,1,62,29,71,55,79,59,1,1
82,20,70,11,74,77,5,0,100,100,0,0
65,51,3,3,16,2,53,0,32,47,2,2
78,19,1,1,8,72,85,9,88,29,7,7
73,59,13,10,51,37,61,31,85,68,0,0
30,30,0,0,23,22,0,0,72,73,0,4
57,53,60,44,55,54,65,38,57,66,40,48
77,71,63,40,69,54,61,42,67,59,35,29
68,24,0,59,69,28,0,3,87,80,0,0
63,20,2,2,86,16,72,24,91,20,6,8
39,39,42,45,44,41,41,40,43,46,43,38
100,100,50,54,44,39,59,69,100,78,0,0
61,60,65,60,63,55,65,39,57,41,46,64
69,67,56,55,54,39,64,47,65,54,60,43
85,75,0,0,52,53,51,49,100,57,0,0
55,53,54,16,71,85,12,14,65,73,82,31
50,49,0,0,50,75,0,0,93,78,0,0
64,38,32,55,36,32,76,55,78,73,21,37
64,44,34,37,58,49,59,59,60,62,40,43
41,37,27,10,35,6,0,0,67,76,9,0
30,32,29,16,31,36,32,28,37,70,33,44
91,0,0,1,60,1,1,1,99,58,1,1
65,60,17,3,52,20,22,15,68,67,17,15
25,0,0,0,35,4,3,0,17,8,0,0
0,0,0,0,36,0,77,32,81,65,0,0
48,52,40,0,51,48,46,47,60,58,0,0
