k_yomiyasusa,k_seizensa,k_chikarazuyosa,k_akarusa,k_dokujisei,k_jidaisei,k_atatakasa,g_yomiyasusa,g_seizensa,g_chikarazuyosa,g_akarusa,g_dokujisei,g_jidaisei,g_atatakasa,s_yomiyasusa,s_seizensa,s_chikarazuyosa,s_akarusa,s_dokujisei,s_jidaisei,s_atatakasa,suki
92,98,2,91,9,86,93,25,18,85,17,92,13,89,1,1,99,97,98,1,97,sousho
100,63,65,64,25,74,42,76,75,72,66,35,65,62,30,56,59,38,68,25,42,gyosho
100,98,17,76,1,82,71,35,85,78,72,90,30,87,4,14,99,86,98,10,89,sousho
98,69,19,79,2,78,50,32,29,83,85,81,23,51,12,15,99,87,99,11,79,sousho
98,71,15,72,28,74,70,28,34,79,80,74,34,79,8,12,96,93,89,8,89,sousho
99,99,37,51,0,100,50,77,78,17,51,98,35,51,23,99,1,51,99,17,50,gyosho
92,87,20,76,18,72,25,38,34,72,73,71,74,75,13,79,99,100,95,17,78,sousho
93,87,63,85,20,82,69,41,69,94,75,84,26,81,26,99,99,99,84,19,87,sousho
98,100,99,48,2,99,50,78,92,96,51,84,20,67,1,50,43,66,100,2,84,gyosho
100,99,99,99,56,99,99,64,83,78,78,64,70,67,22,25,61,31,28,27,26,kaisho
63,66,65,65,68,68,65,75,45,57,43,58,46,39,2,4,69,40,99,26,19,kaisho
88,83,66,67,14,77,54,33,63,58,59,70,39,56,0,42,56,24,100,17,30,kaisho
86,88,79,91,19,77,50,45,51,58,57,60,43,56,33,41,40,49,78,21,54,kaisho
86,88,60,63,41,73,38,44,63,79,65,70,30,64,38,36,96,85,92,88,92,sousho
67,74,79,71,31,62,37,43,56,31,25,69,32,56,12,62,20,78,75,22,57,kaisho
100,100,70,50,0,100,79,100,100,11,18,70,100,60,29,84,0,100,81,2,100,gyosho
58,42,62,68,68,68,73,59,55,60,59,67,60,70,42,70,66,71,68,63,64,kaisho
87,88,67,68,6,77,77,37,64,42,42,72,34,61,0,57,42,35,100,0,44,kaisho
98,98,0,99,19,80,95,40,75,100,71,66,34,71,24,70,27,69,87,9,78,kaisho
100,82,71,84,0,60,61,44,73,34,77,63,31,40,6,26,8,22,95,0,62,kaisho
63,82,74,35,28,66,71,49,39,68,33,69,29,26,19,42,37,68,74,20,36,kaisho
85,81,76,66,36,56,64,62,64,79,56,80,25,53,35,46,89,59,84,11,46,kaisho
100,100,36,75,24,72,71,100,74,68,33,75,69,74,76,27,71,29,75,26,71,gyosho
77,85,67,71,59,72,76,26,76,22,21,77,19,24,0,18,5,15,96,9,2,gyosho
78,66,31,64,21,100,69,40,91,88,80,61,29,35,27,75,100,62,100,0,20,gyosho
100,100,100,100,0,69,67,0,24,100,100,73,31,87,0,0,100,72,100,23,72,kaisho
82,100,100,83,100,100,85,19,36,73,31,100,0,32,0,0,82,0,100,0,22,kaisho
59,64,61,61,41,63,52,37,41,40,51,65,30,51,17,28,31,51,75,24,54,kaisho
69,78,74,76,66,82,69,35,44,77,91,100,91,55,16,35,62,68,64,79,68,kaisho
100,100,49,100,0,100,51,22,23,30,34,66,34,62,0,0,0,100,100,3,100,kaisho
97,100,100,100,0,100,0,60,64,65,64,23,73,36,0,0,100,100,100,0,100,kaisho
86,78,67,82,26,79,77,66,71,92,84,74,23,78,24,20,33,37,95,16,20,gyosho
87,92,83,87,0,97,16,33,67,23,64,77,24,63,0,13,16,15,100,0,21,kaisho
99,98,79,81,20,92,47,36,69,34,59,64,38,49,22,32,29,53,66,34,50,kaisho
28,73,97,67,62,36,51,3,29,34,43,74,14,48,1,30,66,54,79,2,56,kaisho
88,80,76,77,32,59,58,27,37,38,56,88,13,28,0,47,27,27,92,0,36,kaisho
84,60,99,100,68,44,79,74,73,78,77,71,67,65,35,35,97,68,100,14,36,kaisho
100,99,100,99,76,80,80,75,69,70,69,72,71,73,1,31,18,64,98,1,62,kaisho
88,90,82,92,68,74,71,29,37,47,53,62,26,61,15,32,77,56,90,28,48,kaisho
75,31,79,64,0,59,72,78,60,69,39,74,20,27,0,22,29,74,82,25,61,gyosho
97,95,72,34,40,73,52,43,60,93,70,74,43,52,32,39,99,70,99,71,66,sousho
99,100,68,60,0,100,100,28,63,100,100,97,0,79,0,25,73,75,100,0,75,kaisho
71,72,64,76,36,52,45,57,59,58,74,69,61,54,34,53,38,61,100,65,75,kaisho
86,88,87,86,53,89,55,65,64,68,62,96,34,54,4,29,63,27,96,57,88,kaisho
85,82,11,65,14,86,24,34,33,34,68,65,35,75,3,17,19,76,75,3,80,kaisho
87,71,91,84,61,69,35,83,76,77,78,92,84,77,77,75,76,100,63,73,41,gyosho
45,58,69,64,44,58,58,43,60,38,60,59,23,57,32,62,34,45,60,9,57,gyosho
100,79,61,68,0,100,52,27,70,26,61,76,23,76,0,72,0,38,100,0,70,gyosho
